Real Date,Bytes,X,Y,Last Seen,Associated,Test Point
2022-09-05 15:38:14,5448,98.01226,16.791014,2022-09-05T15:38:13.040+0100,true,18
2022-09-05 15:38:15,14580,99.20957,15.991797,2022-09-05T15:38:15.039+0100,true,18
2022-09-05 15:38:16,5500,99.20957,15.991797,2022-09-05T15:38:15.039+0100,true,18
2022-09-05 15:38:17,8752,100.79923,14.800519,2022-09-05T15:38:17.159+0100,true,18
2022-09-05 15:38:18,5552,100.79923,14.800519,2022-09-05T15:38:17.159+0100,true,18
2022-09-05 15:38:19,8699,98.38105,16.412634,2022-09-05T15:38:19.254+0100,true,18
2022-09-05 15:38:21,5552,98.38105,16.412634,2022-09-05T15:38:19.254+0100,true,18
2022-09-05 15:38:22,2735231,97.1844,17.2104,2022-09-05T15:38:21.265+0100,true,18
2022-09-05 15:38:23,3449210,97.1844,17.2104,2022-09-05T15:38:21.265+0100,true,18
2022-09-05 15:38:24,8803,98.38942,16.407053,2022-09-05T15:38:23.278+0100,true,18
2022-09-05 15:38:24,5485,98.38942,16.407053,2022-09-05T15:38:23.278+0100,true,18
2022-09-05 15:38:25,8751,98.41393,16.390715,2022-09-05T15:38:25.286+0100,true,18
2022-09-05 15:38:26,5448,98.41393,16.390715,2022-09-05T15:38:25.286+0100,true,18
2022-09-05 15:38:27,8699,98.43856,16.374296,2022-09-05T15:38:27.304+0100,true,18
2022-09-05 15:38:28,5500,98.43856,16.374296,2022-09-05T15:38:27.304+0100,true,18
2022-09-05 15:38:29,8700,100.41121,15.193981,2022-09-05T15:38:29.333+0100,true,18
2022-09-05 15:38:31,5500,100.41121,15.193981,2022-09-05T15:38:29.333+0100,true,18
2022-09-05 15:38:31,8565,101.59699,14.403008,2022-09-05T15:38:31.340+0100,true,18
2022-09-05 15:38:33,5500,101.59699,14.403008,2022-09-05T15:38:31.340+0100,true,18
2022-09-05 15:38:33,5448,101.59699,14.403008,2022-09-05T15:38:31.340+0100,true,18
2022-09-05 15:38:34,8700,101.59975,14.400258,2022-09-05T15:38:33.381+0100,true,18
2022-09-05 15:38:36,8805,101.602455,14.397549,2022-09-05T15:38:35.387+0100,true,18
2022-09-05 15:38:36,8753,101.602455,14.397549,2022-09-05T15:38:35.387+0100,true,18
2022-09-05 15:38:37,5500,101.602455,14.397549,2022-09-05T15:38:35.387+0100,true,18
2022-09-05 15:38:38,8700,102.81835,13.586032,2022-09-05T15:38:37.485+0100,true,18
2022-09-05 15:38:39,5448,102.81835,13.586032,2022-09-05T15:38:37.485+0100,true,18
2022-09-05 15:38:40,9158,103.20902,13.193983,2022-09-05T15:38:39.508+0100,true,18
2022-09-05 15:38:41,5448,103.20902,13.193983,2022-09-05T15:38:39.508+0100,true,18
2022-09-05 15:38:43,6233669,104.00954,12.795099,2022-09-05T15:38:41.612+0100,true,18
2022-09-05 15:38:43,5396,104.00954,12.795099,2022-09-05T15:38:41.612+0100,true,18
2022-09-05 15:38:45,8842,102.785515,14.015043,2022-09-05T15:38:43.615+0100,true,18
